[Spectrum]
Version            = 1
IDData             = DLAB_2023-07-19_15-17-26_713_366
IDDevice           = SAM_81D7
IDDataType         = SPECTRUM
IDDataTypeSub1     = CAL
IDDataTypeSub2     = Air
IDDataTypeSub3     = 
DateTime           = 2023-07-19 15:16:31
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = 
MethodName         = 
Mission            = No Mission
MissionSub         = 1
RecordType         = 0

[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2023-07-17_10-22-41_272_112
IDDataCal = 
IntegrationTime = 64
P31 = -1
P31e = 0
PathLength = +INF
RAWDynamic = 65535
Temperature = +NAN
Unit1 = $05 $00 Pixel 
Unit2 = $04 $04 1/Intensity (m^2 nm Sr)/mW
Unit3 = $04 $04 1/Intensity (m^2 nm Sr)/mW
Unit4 = $f1 $00 Status 
[END] of [Attributes]
[DATA]
 0 5 0 0
 1 +NAN 0 0
 2 +NAN 0 0
 3 +NAN 0 0
 4 +NAN 0 0
 5 0.621283647875315 0 0
 6 0.718856867847783 0 0
 7 0.83130804408651 0 0
 8 0.93119437226092 0 0
 9 1.00932048354716 0 0
 10 1.05093901983798 0 0
 11 1.05625793890837 0 0
 12 1.06377011179555 0 0
 13 1.053802771052 0 0
 14 1.04077583512347 0 0
 15 1.02604862492642 0 0
 16 1.01291939880261 0 0
 17 1.01730910479155 0 0
 18 1.03289301664683 0 0
 19 1.06723476982648 0 0
 20 1.11851051123123 0 0
 21 1.19415087398854 0 0
 22 1.28539888668972 0 0
 23 1.3953750160466 0 0
 24 1.51978196552411 0 0
 25 1.638319925685 0 0
 26 1.75505917853878 0 0
 27 1.85687878530587 0 0
 28 1.92727092500379 0 0
 29 1.97691648350838 0 0
 30 1.99621550261563 0 0
 31 1.98589174554743 0 0
 32 1.96025360901896 0 0
 33 1.92781343209037 0 0
 34 1.89637279199114 0 0
 35 1.86324910726446 0 0
 36 1.83027744008688 0 0
 37 1.80007978960366 0 0
 38 1.77700580756957 0 0
 39 1.76779334305085 0 0
 40 1.76649194827604 0 0
 41 1.7730364313561 0 0
 42 1.78168155193214 0 0
 43 1.79380112750336 0 0
 44 1.81527024049158 0 0
 45 1.84331926132075 0 0
 46 1.87933233057395 0 0
 47 1.92559953690984 0 0
 48 1.97752031989457 0 0
 49 2.03326011235206 0 0
 50 2.09615981297515 0 0
 51 2.16594657692871 0 0
 52 2.23825529270173 0 0
 53 2.31328270663512 0 0
 54 2.38326777687109 0 0
 55 2.44889907896123 0 0
 56 2.51045956292505 0 0
 57 2.55887220326241 0 0
 58 2.59965992401881 0 0
 59 2.62375382001216 0 0
 60 2.62942643346847 0 0
 61 2.62113068698541 0 0
 62 2.60190638067501 0 0
 63 2.57574421527476 0 0
 64 2.54030666945033 0 0
 65 2.4980110283061 0 0
 66 2.45020617853787 0 0
 67 2.39874578338128 0 0
 68 2.34648415899738 0 0
 69 2.29510016063143 0 0
 70 2.24446366767425 0 0
 71 2.19815617105824 0 0
 72 2.15431526189401 0 0
 73 2.11415097910133 0 0
 74 2.07844606218844 0 0
 75 2.04144808185961 0 0
 76 2.00425774396412 0 0
 77 1.96239845831301 0 0
 78 1.91768596338229 0 0
 79 1.87138536655181 0 0
 80 1.82115074028198 0 0
 81 1.77200789414495 0 0
 82 1.72421929761152 0 0
 83 1.67971478504914 0 0
 84 1.6463597836067 0 0
 85 1.62258839968498 0 0
 86 1.60449782393605 0 0
 87 1.58875899439547 0 0
 88 1.57691289328297 0 0
 89 1.56677170040059 0 0
 90 1.55726179071323 0 0
 91 1.55001882612387 0 0
 92 1.54482124314256 0 0
 93 1.54031853048689 0 0
 94 1.53745532677359 0 0
 95 1.53694704358094 0 0
 96 1.53963575721991 0 0
 97 1.54294021851373 0 0
 98 1.55023977695767 0 0
 99 1.55644668657694 0 0
 100 1.56377422258521 0 0
 101 1.57594927942965 0 0
 102 1.5916278216974 0 0
 103 1.60648333264221 0 0
 104 1.61184804723404 0 0
 105 1.61158415195716 0 0
 106 1.60888123161282 0 0
 107 1.60180196658656 0 0
 108 1.59420721289746 0 0
 109 1.58751012352088 0 0
 110 1.58311815442604 0 0
 111 1.58314860893201 0 0
 112 1.58574124916715 0 0
 113 1.5898933783115 0 0
 114 1.59611125958209 0 0
 115 1.59625815306405 0 0
 116 1.5906535385621 0 0
 117 1.5756996637411 0 0
 118 1.55233743342751 0 0
 119 1.5211379437357 0 0
 120 1.48608078856555 0 0
 121 1.4472524745238 0 0
 122 1.40867787835284 0 0
 123 1.37315804688075 0 0
 124 1.33862553872752 0 0
 125 1.30639242326215 0 0
 126 1.27724164275585 0 0
 127 1.24785506723523 0 0
 128 1.21778505908348 0 0
 129 1.18669537880774 0 0
 130 1.15356456102451 0 0
 131 1.11905678549922 0 0
 132 1.08474661874728 0 0
 133 1.05077635555702 0 0
 134 1.01760995286208 0 0
 135 0.986230303029638 0 0
 136 0.956445155548679 0 0
 137 0.927069539387184 0 0
 138 0.902131559159793 0 0
 139 0.876755481931221 0 0
 140 0.852122461610768 0 0
 141 0.827894781297994 0 0
 142 0.804037172870845 0 0
 143 0.779335204266771 0 0
 144 0.754915785025807 0 0
 145 0.729514922295151 0 0
 146 0.704298713215369 0 0
 147 0.679642934366573 0 0
 148 0.65559938847039 0 0
 149 0.632623161162967 0 0
 150 0.612042414250374 0 0
